Year,Geographical region,Country of nationality,Total,Work,Study,Family,Other 
 2013,Africa North,Sudan,"11,200",310,375,180,"10,400"
 2013,Africa Sub-Saharan,Sudan (South),245,5,10,*,225
 2013,America Central and South,Surinam,205,0,*,*,200
 2013,Europe Other,Svalbard and Jan Mayen,60,5,0,0,55
 2013,Africa Sub-Saharan,Swaziland,685,10,25,0,650
 2013,EU 14,Sweden,z,z,z,z,z
 2013,Europe Other,Switzerland,z,z,z,z,z
 2013,Middle East,Syria,"9,090",145,255,140,"8,550"
 2013,Asia East,Taiwan,"92,800",910,"7,370",70,"84,500"
 2013,Asia Central,Tajikistan,710,20,50,*,640
 2013,Africa Sub-Saharan,Tanzania,"10,800",165,505,40,"10,100"
 2013,Asia South East,Thailand,"126,000",605,"9,010",710,"116,000"
 2013,Africa Sub-Saharan,Togo,470,*,15,5,450
 2013,Oceania,Tokelau,0,0,0,0,0
 2013,Oceania,Tonga,520,15,*,0,500
 2013,America Central and South,Trinidad and Tobago,"35,500",90,395,45,"34,900"
 2013,Africa North,Tunisia,"12,600",105,540,120,"11,800"
 2013,Europe Other,Turkey,"219,000","1,670","13,600",630,"203,000"
 2013,Asia Central,Turkmenistan,"2,040",35,125,5,"1,880"
 2013,Other,Turks and Caicos Islands (British),10,0,*,0,10
 2013,Oceania,Tuvalu,25,0,0,0,25
 2013,Africa Sub-Saharan,Uganda,"12,800",190,495,100,"12,000"
 2013,Europe Other,Ukraine,"103,000",650,"5,080",175,"97,400"
 2013,Middle East,United Arab Emirates,"72,000",720,"1,980",5,"69,300"
 2013,America North,United States,"3,840,000","30,100","85,600","1,790","3,720,000"
 2013,America Central and South,Uruguay,"11,400",50,540,5,"10,800"
 2013,Asia Central,Uzbekistan,"6,270",95,705,20,"5,450"
 2013,Oceania,Vanuatu,55,0,0,0,55
 2013,Europe Other,Vatican City,30,10,0,0,15
 2013,America Central and South,Venezuela,"44,100",160,"2,820",25,"41,100"
 2013,Asia South East,Vietnam,"21,900",175,"2,920",65,"18,700"
 2013,Other,Virgin Islands (British),20,0,0,0,20
 2013,America North,Virgin Islands (US),55,0,*,0,55
 2013,Oceania,Wallis and Futuna,15,0,0,0,15
 2013,Africa North,Western Sahara,0,0,0,0,0
 2013,Middle East,Yemen,"4,670",105,230,80,"4,250"
 2013,Africa Sub-Saharan,Zambia,"10,300",95,315,40,"9,890"
 2013,Africa Sub-Saharan,Zimbabwe,"30,100",275,365,250,"29,200"
 2014,*Total,*Total,"14,600,000","163,000","473,000","21,800","14,000,000"
 2014,Africa North,*Total Africa North,"185,000","2,660","10,400",725,"171,000"
 2014,Africa Sub-Saharan,*Total Africa Sub-Saharan,"801,000","7,560","19,800","2,530","771,000"
 2014,America North,*Total America North,"5,240,000","37,600","141,000","2,030","5,060,000"
 2014,America Central and South,*Total America Central and South ,"1,030,000","6,000","45,800",910,"973,000"
 2014,Asia Central,*Total Asia Central,"58,800",810,"3,950",630,"53,400"
 2014,Asia East,*Total Asia East,"1,980,000","14,600","119,000","1,500","1,850,000"
 2014,Asia South,*Total Asia South,"1,270,000","51,300","24,600","8,350","1,190,000"
 2014,Asia South East,*Total Asia South East,"874,000","9,120","33,100","1,700","830,000"
 2014,EU 14,*Total EU 14,z,z,z,z,z
 2014,EU 2,*Total EU 2,z,z,z,z,z
 2014,EU 8,*Total EU 8,z,z,z,z,z
 2014,EU Other,*Total EU Other,z,z,z,z,z
 2014,Europe Other,*Total Europe Other,"872,000","6,430","34,600","1,370","830,000"
 2014,Middle East,*Total Middle East,"922,000","7,370","34,400","1,030","880,000"
 2014,Oceania,*Total Oceania,"1,360,000","19,700","5,660",915,"1,340,000"
 2014,Other,*Total Other,"50,800",100,170,65,"50,400"
 2014,Asia Central,Afghanistan,"10,400",305,125,565,"9,380"
 2014,Europe Other,Albania,"14,600",105,310,165,"14,000"
 2014,Africa North,Algeria,"29,900",185,925,125,"28,600"
 2014,Oceania,American Samoa,35,0,*,0,35
 2014,Europe Other,Andorra,"1,470",0,30,*,"1,440"
 2014,Africa Sub-Saharan,Angola,"6,570",115,810,5,"5,640"
 2014,Other,Anguilla (British),5,0,0,0,5
 2014,America Central and South,Antigua and Barbuda,"3,070",20,30,5,"3,020"
 2014,America Central and South,Argentina,"115,000","1,050","3,270",30,"111,000"
 2014,Europe Other,Armenia,"4,770",55,200,10,"4,500"
 2014,America Central and South,Aruba,15,0,5,0,10
 2014,Oceania,Australia,"1,090,000","14,900","4,710",665,"1,070,000"
 2014,EU 14,Austria,z,z,z,z,z
 2014,Europe Other,Azerbaijan,"20,100",140,"1,270",10,"18,600"
 2014,America Central and South,"Bahamas, The","4,190",20,95,5,"4,070"
 2014,Middle East,Bahrain,"29,100",290,940,5,"27,900"
 2014,Asia South,Bangladesh,"46,400",610,"2,670",930,"42,200"
 2014,America Central and South,Barbados,"12,600",80,140,20,"12,300"
 2014,Europe Other,Belarus,"20,400",165,620,25,"19,600"
 2014,EU 14,Belgium,z,z,z,z,z
 2014,America Central and South,Belize,"1,370",10,25,*,"1,340"
 2014,Africa Sub-Saharan,Benin,500,5,10,*,485
 2014,Other,Bermuda (British),330,*,*,0,325
 2014,Asia South,Bhutan,255,*,10,*,240
 2014,America Central and South,Bolivia,"2,460",20,40,10,"2,390"
 2014,America Central and South,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0
 2014,Europe Other,Bosnia and Herzegovina,"10,800",55,90,10,"10,600"
 2014,Africa Sub-Saharan,Botswana,"4,560",65,190,5,"4,300"
 2014,America Central and South,Brazil,"424,000","2,130","23,700",215,"398,000"
 2014,Other,British overseas citizens,"5,470",25,40,*,"5,400"
 2014,Asia South East,Brunei,"17,500",215,830,10,"16,500"
 2014,EU 2,Bulgaria,z,z,z,z,z
 2014,Africa Sub-Saharan,Burkina,275,10,15,5,250
 2014,Asia South East,Burma,"5,330",70,235,10,"5,010"
 2014,Africa Sub-Saharan,Burundi,420,5,15,*,400
 2014,Asia South East,Cambodia,"1,020",25,55,15,925
 2014,Africa Sub-Saharan,Cameroon,"8,430",85,505,50,"7,780"
 2014,America North,Canada,"997,000","7,370","8,160",285,"981,000"
 2014,Africa Sub-Saharan,Cape Verde,170,*,15,0,150
 2014,Other,Cayman Islands (British),60,0,0,*,60
 2014,Africa Sub-Saharan,Central African Republic,40,*,*,*,40
 2014,Africa Sub-Saharan,Chad,250,5,*,*,240
 2014,America Central and South,Chile,"53,400",240,"3,020",20,"50,200"
 2014,Asia East,China,"746,000","5,280","69,400",935,"670,000"
 2014,Oceania,Christmas Island,0,0,0,0,0
 2014,Oceania,Cocos (Keeling) Islands,190,0,0,0,190
 2014,America Central and South,Colombia,"49,000",325,"4,230",85,"44,400"
 2014,Africa Sub-Saharan,Comoros,250,5,10,*,235
 2014,Africa Sub-Saharan,Congo,"2,810",130,60,30,"2,590"
 2014,Africa Sub-Saharan,Congo (Democratic Republic),"2,250",25,*,10,"2,220"
 2014,Oceania,Cook Islands,15,0,0,0,15
 2014,America Central and South,Costa Rica,"7,950",50,190,5,"7,710"
 2014,EU Other,Croatia,z,z,z,z,z
 2014,America Central and South,Cuba,"2,910",120,25,15,"2,750"
 2014,America Central and South,Curacao,0,0,0,0,0
 2014,EU Other,Cyprus,z,z,z,z,z
 2014,Europe Other,Cyprus (Northern part of),530,0,*,*,530
 2014,EU 8,Czech Republic,z,z,z,z,z
 2014,EU 14,Denmark,z,z,z,z,z
 2014,Africa Sub-Saharan,Djibouti,185,0,15,*,170
 2014,America Central and South,Dominica,"2,360",10,10,5,"2,340"
 2014,America Central and South,Dominican Republic,"2,950",30,95,20,"2,810"
 2014,Asia South East,East Timor,115,0,0,0,115
 2014,America Central and South,Ecuador,"10,600",110,585,25,"9,840"
 2014,Africa North,Egypt,"75,800","1,440","2,010",160,"72,200"
 2014,America Central and South,El Salvador,"2,650",15,45,5,"2,580"
 2014,Africa Sub-Saharan,Equatorial Guinea,155,10,10,0,130
 2014,Africa Sub-Saharan,Eritrea,"1,480",90,10,90,"1,290"
 2014,EU 8,Estonia,z,z,z,z,z
 2014,Africa Sub-Saharan,Ethiopia,"5,220",195,165,80,"4,780"
 2014,Other,Falkland Islands (British),0,0,0,0,0
 2014,Europe Other,Faroe Islands,45,0,0,0,45
 2014,Oceania,Fiji,"2,790",90,20,45,"2,630"
 2014,EU 14,Finland,z,z,z,z,z
 2014,Europe Other,Former Yugoslavia,120,0,0,0,120
 2014,EU 14,France,z,z,z,z,z
 2014,America Central and South,French Guiana,*,0,0,0,*
 2014,Oceania,French Polynesia,0,0,0,0,0
 2014,Africa Sub-Saharan,Gabon,705,20,20,*,670
 2014,Africa Sub-Saharan,"Gambia, The","5,020",40,105,140,"4,740"
 2014,Europe Other,Georgia,"9,410",80,530,20,"8,780"
 2014,EU 14,Germany,z,z,z,z,z
 2014,Africa Sub-Saharan,Ghana,"52,600",700,990,400,"50,500"
 2014,Other,Gibraltar (British),10,0,0,0,10
 2014,EU 14,Greece,z,z,z,z,z
 2014,Europe Other,Greenland,5,0,0,0,5
 2014,America Central and South,Grenada,"3,050",35,10,10,"3,000"
 2014,America Central and South,Guadeloupe,0,0,0,0,0
 2014,Oceania,Guam,5,0,0,0,5
 2014,America Central and South,Guatemala,"5,060",15,115,0,"4,930"
 2014,Africa Sub-Saharan,Guinea,880,30,20,20,810
 2014,Africa Sub-Saharan,Guinea-Bissau,160,15,5,0,140
 2014,America Central and South,Guyana,"2,940",15,40,15,"2,880"
 2014,America Central and South,Haiti,540,5,15,*,520
 2014,Oceania,Heard Island and McDonald Islands,0,0,0,0,0
 2014,America Central and South,Honduras,"4,550",20,35,*,"4,490"
 2014,Asia East,Hong Kong,"198,000","1,180","10,700",120,"186,000"
 2014,EU 8,Hungary,z,z,z,z,z
 2014,Europe Other,Iceland,z,z,z,z,z
 2014,Asia South,India,"948,000","45,200","16,100","2,760","884,000"
 2014,Asia South East,Indonesia,"58,900","1,250","2,540",80,"55,100"
 2014,Middle East,Iran,"40,000",455,895,260,"38,400"
 2014,Middle East,Iraq,"24,000",375,"2,770",215,"20,700"
 2014,EU 14,Ireland,z,z,z,z,z
 2014,Middle East,Israel,"240,000",735,855,50,"239,000"
 2014,EU 14,Italy,z,z,z,z,z
 2014,Africa Sub-Saharan,Ivory Coast,"3,680",80,95,10,"3,500"
 2014,America Central and South,Jamaica,"27,600",290,145,215,"26,900"
 2014,Asia East,Japan,"549,000","4,930","20,300",265,"523,000"
 2014,Middle East,Jordan,"31,800",345,"1,340",55,"30,100"
 2014,Asia Central,Kazakhstan,"36,500",390,"3,230",30,"32,900"
 2014,Africa Sub-Saharan,Kenya,"39,700",375,"1,130",155,"38,000"
 2014,Oceania,Kiribati,105,10,*,0,95
 2014,Asia East,Korea (North),"1,990",10,25,0,"1,960"
 2014,Asia East,Korea (South),"374,000","2,110","11,700",100,"360,000"
 2014,Europe Other,Kosovo,"8,290",35,150,70,"8,030"
 2014,Middle East,Kuwait,"134,000",835,"3,310",15,"130,000"
 2014,Asia Central,Kyrgyzstan,"2,330",25,60,10,"2,230"
 2014,Asia South East,Laos,820,5,60,5,755
 2014,EU 8,Latvia,z,z,z,z,z
 2014,Middle East,Lebanon,"36,200",260,860,80,"35,000"
 2014,Africa Sub-Saharan,Lesotho,545,30,5,5,505
 2014,Africa Sub-Saharan,Liberia,875,20,30,10,810
 2014,Africa North,Libya,"23,400",315,"5,640",55,"17,400"
 2014,Europe Other,Liechtenstein,z,z,z,z,z
 2014,EU 8,Lithuania,z,z,z,z,z
 2014,EU 14,Luxembourg,z,z,z,z,z
 2014,Asia East,Macau,"5,840",5,190,*,"5,650"
 2014,Europe Other,Macedonia,"9,870",65,110,10,"9,680"
 2014,Africa Sub-Saharan,Madagascar,"1,670",10,45,5,"1,610"
 2014,Africa Sub-Saharan,Malawi,"3,960",55,165,25,"3,720"
 2014,Asia South East,Malaysia,"297,000","1,010","12,600",165,"283,000"
 2014,Asia South,Maldives,"1,910",30,105,5,"1,770"
 2014,Africa Sub-Saharan,Mali,575,50,15,5,505
 2014,EU Other,Malta,z,z,z,z,z
 2014,Oceania,Marshall Islands,20,*,0,0,20
 2014,America Central and South,Martinique,*,0,0,0,*
 2014,Africa North,Mauritania,460,5,30,*,425
 2014,Africa Sub-Saharan,Mauritius,"39,600",95,735,60,"38,700"
 2014,Africa Sub-Saharan,Mayotte,360,0,15,0,340
 2014,America Central and South,Mexico,"174,000",505,"5,080",75,"168,000"
 2014,Oceania,Micronesia,15,*,0,0,15
 2014,Europe Other,Moldova,"2,850",55,65,0,"2,730"
 2014,Europe Other,Monaco,"2,060",10,10,*,"2,040"
 2014,Asia East,Mongolia,"3,770",45,245,10,"3,470"
 2014,Europe Other,Montenegro,"2,870",15,75,*,"2,780"
 2014,Other,Montserrat (British),40,0,0,0,40
 2014,Africa North,Morocco,"31,800",295,"1,020",140,"30,300"
 2014,Africa Sub-Saharan,Mozambique,"1,650",20,55,*,"1,570"
 2014,Africa Sub-Saharan,Namibia,"3,190",50,70,10,"3,060"
 2014,Oceania,Nauru,60,0,*,0,60
 2014,Asia South,Nepal,"39,300",495,395,550,"37,800"
 2014,EU 14,Netherlands,z,z,z,z,z
 2014,America Central and South,Netherlands Antilles,z,z,z,z,z
 2014,Oceania,New Caledonia,25,0,0,0,25
 2014,Oceania,New Zealand,"266,000","4,650",855,205,"261,000"
 2014,America Central and South,Nicaragua,"2,510",5,15,5,"2,490"
 2014,Africa Sub-Saharan,Niger,245,15,5,*,220
 2014,Africa Sub-Saharan,Nigeria,"324,000","1,750","11,300",450,"311,000"
 2014,Oceania,Niue,*,0,0,0,*
 2014,Oceania,Norfolk Island,0,0,0,0,0
 2014,Oceania,Northern Mariana Islands,0,0,0,0,0
 2014,Europe Other,Norway,z,z,z,z,z
 2014,Middle East,Occupied Palestinian Territories,"2,340",35,190,35,"2,080"
 2014,Middle East,Oman,"35,300",535,"3,390",45,"31,300"
 2014,Other,Other and unknown,"10,100",55,55,50,"9,980"
 2014,Asia South,Pakistan,"184,000","3,660","4,480","3,390","172,000"
 2014,Oceania,Palau,40,*,0,0,40
 2014,America Central and South,Panama,"5,370",25,715,5,"4,620"
 2014,Oceania,Papua New Guinea,435,15,30,5,385
 2014,America Central and South,Paraguay,"4,150",45,145,5,"3,960"
 2014,America Central and South,Peru,"13,700",95,540,30,"13,000"
 2014,Asia South East,Philippines,"183,000","5,260",520,745,"176,000"
 2014,Other,Pitcairn Islands (British),80,0,0,0,80
 2014,EU 8,Poland,z,z,z,z,z
 2014,EU 14,Portugal,z,z,z,z,z
 2014,America North,Puerto Rico,15,0,0,0,15
 2014,Middle East,Qatar,"68,900",530,"2,820",5,"65,500"
 2014,Other,Refugee,"33,800",20,70,10,"33,700"
 2014,Africa Sub-Saharan,Reunion,70,*,5,0,65
 2014,EU 2,Romania,z,z,z,z,z
 2014,Europe Other,Russia,"420,000","3,210","17,800",345,"398,000"
 2014,Africa Sub-Saharan,Rwanda,"1,930",35,85,5,"1,800"
 2014,Oceania,Samoa,585,10,5,0,570
 2014,Europe Other,San Marino,700,*,25,0,670
 2014,Africa Sub-Saharan,Sao Tome and Principe,80,*,5,*,75
 2014,Middle East,Saudi Arabia,"200,000","1,810","15,100",85,"183,000"
 2014,Africa Sub-Saharan,Senegal,"2,330",55,90,5,"2,170"
 2014,Europe Other,Serbia,"33,100",195,565,30,"32,300"
 2014,Europe Other,Serbia and Montenegro,z,z,z,z,z
 2014,Africa Sub-Saharan,Seychelles,"3,020",40,55,5,"2,920"
 2014,Africa Sub-Saharan,Sierra Leone,"7,470",50,105,55,"7,260"
 2014,Asia South East,Singapore,"168,000",585,"5,320",60,"162,000"
 2014,EU 8,Slovakia,z,z,z,z,z
 2014,EU 8,Slovenia,z,z,z,z,z
 2014,Oceania,Solomon Islands,135,*,*,0,130
 2014,Africa Sub-Saharan,Somalia,"1,530",20,10,100,"1,400"
 2014,Africa Sub-Saharan,South Africa,"202,000","2,340",895,460,"198,000"
 2014,Other,South Georgia and South Sandwich Islands,0,0,0,0,0
 2014,EU 14,Spain,z,z,z,z,z
 2014,Asia South,Sri Lanka,"52,100","1,230",875,715,"49,300"
 2014,Other,St. Helena (British),5,0,0,0,5
 2014,America Central and South,St. Kitts and Nevis,"4,930",25,35,5,"4,870"
 2014,America Central and South,St. Lucia,"4,350",25,55,15,"4,250"
 2014,America Central and South,St. Maarten (Dutch Part),0,0,0,0,0
 2014,America Central and South,St. Martin (French Part),0,0,0,0,0
 2014,America Central and South,St. Pierre and Miquelon,5,0,0,0,5
 2014,America Central and South,St. Vincent and the Grenadines,"3,750",5,25,10,"3,710"
 2014,Other,Stateless,730,0,5,*,725
 2014,Africa North,Sudan,"10,900",295,285,140,"10,200"
 2014,Africa Sub-Saharan,Sudan (South),555,10,5,0,545
 2014,America Central and South,Surinam,155,10,10,0,140
 2014,Europe Other,Svalbard and Jan Mayen,25,0,5,0,15
 2014,Africa Sub-Saharan,Swaziland,710,5,15,*,690
 2014,EU 14,Sweden,z,z,z,z,z
 2014,Europe Other,Switzerland,z,z,z,z,z
 2014,Middle East,Syria,"9,110",140,190,140,"8,630"
 2014,Asia East,Taiwan,"104,000","1,060","6,940",65,"95,500"
 2014,Asia Central,Tajikistan,995,5,65,*,925
 2014,Africa Sub-Saharan,Tanzania,"12,000",175,515,50,"11,300"
 2014,Asia South East,Thailand,"118,000",475,"8,280",550,"109,000"
 2014,Africa Sub-Saharan,Togo,515,10,10,*,490
 2014,Oceania,Tokelau,0,0,0,0,0
 2014,Oceania,Tonga,370,10,35,*,320
 2014,America Central and South,Trinidad and Tobago,"35,500",115,455,20,"34,900"
 2014,Africa North,Tunisia,"12,700",120,455,100,"12,000"
 2014,Europe Other,Turkey,"218,000","1,550","9,950",520,"206,000"
 2014,Asia Central,Turkmenistan,"2,360",20,70,5,"2,260"
 2014,Other,Turks and Caicos Islands (British),55,0,*,0,55
 2014,Oceania,Tuvalu,30,*,0,0,25
 2014,Africa Sub-Saharan,Uganda,"13,000",315,400,65,"12,200"
 2014,Europe Other,Ukraine,"92,200",695,"2,760",155,"88,600"
 2014,Middle East,United Arab Emirates,"66,300",905,"1,610",5,"63,800"
 2014,America North,United States,"4,250,000","30,200","133,000","1,740","4,080,000"
 2014,America Central and South,Uruguay,"11,200",65,405,5,"10,800"
 2014,Asia Central,Uzbekistan,"6,200",65,395,15,"5,720"
 2014,Oceania,Vanuatu,45,0,0,*,45
 2014,Europe Other,Vatican City,55,5,*,0,45
 2014,America Central and South,Venezuela,"27,200",480,"2,440",45,"24,300"
 2014,Asia South East,Vietnam,"24,300",220,"2,570",70,"21,500"
 2014,Other,Virgin Islands (British),10,0,0,0,10
 2014,America North,Virgin Islands (US),330,0,15,0,315
 2014,Oceania,Wallis and Futuna,65,0,0,0,65
 2014,Africa North,Western Sahara,0,0,0,0,0
 2014,Middle East,Yemen,"4,960",130,185,40,"4,600"
 2014,Africa Sub-Saharan,Zambia,"9,510",70,275,30,"9,130"
 2014,Africa Sub-Saharan,Zimbabwe,"33,100",340,715,165,"31,900"
 2015,*Total,*Total,"15,300,000","171,000","492,000","21,600","14,600,000"
 2015,Africa North,*Total Africa North,"172,000","2,330","5,910",715,"163,000"
 2015,Africa Sub-Saharan,*Total Africa Sub-Saharan,"773,000","8,020","17,000","2,370","746,000"
 2015,America North,*Total America North,"5,710,000","36,800","205,000","1,640","5,470,000"
 2015,America Central and South,*Total America Central and South ,"994,000","6,720","33,600",880,"953,000"
 2015,Asia Central,*Total Asia Central,"57,200",570,"2,670",500,"53,400"
 2015,Asia East,*Total Asia East,"2,180,000","15,700","121,000","1,360","2,040,000"
 2015,Asia South,*Total Asia South,"1,330,000","54,700","20,600","9,400","1,240,000"
 2015,Asia South East,*Total Asia South East,"948,000","10,200","29,400","1,760","907,000"
 2015,EU 14,*Total EU 14,z,z,z,z,z
 2015,EU 2,*Total EU 2,z,z,z,z,z
 2015,EU 8,*Total EU 8,z,z,z,z,z
 2015,EU Other,*Total EU Other,z,z,z,z,z
 2015,Europe Other,*Total Europe Other,"775,000","6,870","20,000","1,220","747,000"
 2015,Middle East,*Total Middle East,"918,000","6,950","30,600",960,"880,000"
 2015,Oceania,*Total Oceania,"1,380,000","21,600","5,650",780,"1,350,000"
 2015,Other,*Total Other,"53,600",115,130,25,"53,400"
 2015,Asia Central,Afghanistan,"11,500",110,110,440,"10,900"
 2015,Europe Other,Albania,"17,100",65,280,130,"16,700"
 2015,Africa North,Algeria,"29,100",115,730,155,"28,100"
 2015,Oceania,American Samoa,20,0,*,0,15
 2015,Europe Other,Andorra,"1,590",*,25,0,"1,570"
 2015,Africa Sub-Saharan,Angola,"6,920",165,665,5,"6,080"
 2015,Other,Anguilla (British),*,0,0,0,*
 2015,America Central and South,Antigua and Barbuda,"2,820",55,10,*,"2,760"
 2015,America Central and South,Argentina,"132,000",955,"2,680",25,"129,000"
 2015,Europe Other,Armenia,"4,930",50,175,10,"4,700"
 2015,America Central and South,Aruba,5,*,*,0,*
 2015,Oceania,Australia,"1,080,000","16,300","4,770",560,"1,060,000"
 2015,EU 14,Austria,z,z,z,z,z
 2015,Europe Other,Azerbaijan,"18,600",155,865,20,"17,500"
 2015,America Central and South,"Bahamas, The","3,330",25,70,*,"3,240"
 2015,Middle East,Bahrain,"28,000",235,805,10,"26,900"
 2015,Asia South,Bangladesh,"40,000",580,"1,340","1,250","36,800"
 2015,America Central and South,Barbados,"11,700",85,180,10,"11,500"
 2015,Europe Other,Belarus,"20,000",165,395,30,"19,400"
 2015,EU 14,Belgium,z,z,z,z,z
 2015,America Central and South,Belize,"1,580",20,30,0,"1,530"
 2015,Africa Sub-Saharan,Benin,465,5,20,*,440
 2015,Other,Bermuda (British),300,*,0,0,300
 2015,Asia South,Bhutan,320,0,20,0,300
 2015,America Central and South,Bolivia,"2,810",30,85,5,"2,690"
 2015,America Central and South,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0
 2015,Europe Other,Bosnia and Herzegovina,"9,990",30,85,15,"9,860"
 2015,Africa Sub-Saharan,Botswana,"4,250",40,195,5,"4,010"
 2015,America Central and South,Brazil,"371,000","2,260","15,500",220,"353,000"
 2015,Other,British overseas citizens,"5,830",45,45,5,"5,730"
 2015,Asia South East,Brunei,"13,800",90,670,0,"13,000"
 2015,EU 2,Bulgaria,z,z,z,z,z
 2015,Africa Sub-Saharan,Burkina,380,40,5,0,335
 2015,Asia South East,Burma,"4,710",65,265,15,"4,360"
 2015,Africa Sub-Saharan,Burundi,375,5,20,*,350
 2015,Asia South East,Cambodia,"1,170",15,80,15,"1,060"
 2015,Africa Sub-Saharan,Cameroon,"7,660",60,255,55,"7,290"
 2015,America North,Canada,"955,000","7,210","8,320",220,"940,000"
 2015,Africa Sub-Saharan,Cape Verde,180,*,10,0,165
 2015,Other,Cayman Islands (British),90,0,*,0,90
 2015,Africa Sub-Saharan,Central African Republic,60,10,10,0,45
 2015,Africa Sub-Saharan,Chad,160,*,5,*,150
 2015,America Central and South,Chile,"52,200",385,"2,730",25,"49,100"
 2015,Asia East,China,"888,000","5,980","76,700",850,"804,000"
 2015,Oceania,Christmas Island,0,0,0,0,0
 2015,Oceania,Cocos (Keeling) Islands,10,0,0,0,10
 2015,America Central and South,Colombia,"48,300",455,"2,950",80,"44,800"
 2015,Africa Sub-Saharan,Comoros,225,5,5,0,215
 2015,Africa Sub-Saharan,Congo,"2,470",40,45,20,"2,370"
 2015,Africa Sub-Saharan,Congo (Democratic Republic),"2,600",5,5,*,"2,590"
 2015,Oceania,Cook Islands,20,0,0,0,20
 2015,America Central and South,Costa Rica,"11,600",70,210,5,"11,300"
 2015,EU Other,Croatia,z,z,z,z,z
 2015,America Central and South,Cuba,"2,850",160,30,20,"2,640"
 2015,America Central and South,Curacao,0,0,0,0,0
 2015,EU Other,Cyprus,z,z,z,z,z
 2015,Europe Other,Cyprus (Northern part of),370,20,*,0,350
 2015,EU 8,Czech Republic,z,z,z,z,z
 2015,EU 14,Denmark,z,z,z,z,z
 2015,Africa Sub-Saharan,Djibouti,310,*,10,5,295
 2015,America Central and South,Dominica,"1,970",30,20,*,"1,920"
 2015,America Central and South,Dominican Republic,"3,870",25,115,15,"3,710"
 2015,Asia South East,East Timor,110,5,0,0,105
 2015,America Central and South,Ecuador,"8,050",65,680,20,"7,290"
 2015,Africa North,Egypt,"77,700","1,260","2,250",130,"74,000"
 2015,America Central and South,El Salvador,"2,900",30,55,*,"2,810"
 2015,Africa Sub-Saharan,Equatorial Guinea,215,5,15,0,200
 2015,Africa Sub-Saharan,Eritrea,"1,720",75,15,80,"1,560"
 2015,EU 8,Estonia,z,z,z,z,z
 2015,Africa Sub-Saharan,Ethiopia,"5,200",215,135,50,"4,800"
 2015,Other,Falkland Islands (British),0,0,0,0,0
 2015,Europe Other,Faroe Islands,25,0,0,*,25
 2015,Oceania,Fiji,"2,800",30,25,55,"2,690"
 2015,EU 14,Finland,z,z,z,z,z
 2015,Europe Other,Former Yugoslavia,135,0,0,0,135
 2015,EU 14,France,z,z,z,z,z
 2015,America Central and South,French Guiana,*,0,0,0,*
 2015,Oceania,French Polynesia,0,0,0,0,0
 2015,Africa Sub-Saharan,Gabon,355,10,10,*,330
 2015,Africa Sub-Saharan,"Gambia, The","5,750",35,105,105,"5,510"
 2015,Europe Other,Georgia,"8,420",60,275,10,"8,080"
 2015,EU 14,Germany,z,z,z,z,z
 2015,Africa Sub-Saharan,Ghana,"50,000",425,"1,010",350,"48,200"
 2015,Other,Gibraltar (British),30,0,0,0,30
 2015,EU 14,Greece,z,z,z,z,z
 2015,Europe Other,Greenland,*,0,0,0,*
 2015,America Central and South,Grenada,"3,860",15,35,10,"3,800"
 2015,America Central and South,Guadeloupe,0,0,0,0,0
 2015,Oceania,Guam,30,0,*,0,30
 2015,America Central and South,Guatemala,"6,410",20,150,5,"6,230"
 2015,Africa Sub-Saharan,Guinea,840,10,20,10,795
 2015,Africa Sub-Saharan,Guinea-Bissau,245,0,*,0,245
 2015,America Central and South,Guyana,"2,680",25,60,15,"2,580"
 2015,America Central and South,Haiti,705,5,10,*,685
 2015,Oceania,Heard Island and McDonald Islands,0,0,0,0,0
 2015,America Central and South,Honduras,"4,620",15,55,5,"4,550"
 2015,Asia East,Hong Kong,"241,000","1,470","10,800",125,"228,000"
 2015,EU 8,Hungary,z,z,z,z,z
 2015,Europe Other,Iceland,z,z,z,z,z
 2015,Asia South,India,"1,010,000","48,900","14,500","2,910","941,000"
 2015,Asia South East,Indonesia,"69,800","1,190","2,690",105,"65,800"
 2015,Middle East,Iran,"43,800",505,820,230,"42,300"
 2015,Middle East,Iraq,"18,300",205,"1,370",190,"16,600"
 2015,EU 14,Ireland,z,z,z,z,z
 2015,Middle East,Israel,"256,000",795,"1,090",40,"254,000"
 2015,EU 14,Italy,z,z,z,z,z
 2015,Africa Sub-Saharan,Ivory Coast,"3,410",40,90,20,"3,270"
 2015,America Central and South,Jamaica,"30,100",510,155,215,"29,200"
 2015,Asia East,Japan,"516,000","4,860","16,200",220,"495,000"
 2015,Middle East,Jordan,"32,200",400,"1,420",60,"30,300"
 2015,Asia Central,Kazakhstan,"35,600",355,"2,210",35,"33,000"
 2015,Africa Sub-Saharan,Kenya,"39,100",410,"1,080",150,"37,500"
 2015,Oceania,Kiribati,215,0,15,0,200
 2015,Asia East,Korea (North),"1,930",0,20,0,"1,910"
 2015,Asia East,Korea (South),"407,000","2,310","11,000",95,"393,000"
 2015,Europe Other,Kosovo,"8,150",65,165,50,"7,880"
 2015,Middle East,Kuwait,"131,000",720,"3,500",10,"127,000"
 2015,Asia Central,Kyrgyzstan,"1,800",15,65,5,"1,710"
 2015,Asia South East,Laos,795,5,85,5,700
 2015,EU 8,Latvia,z,z,z,z,z
